/* L = 32, Z = 27000 */
/* p;ocurrencias de percolacion;Masa promedio */
0.576600;9182;3269911
0.576700;8907;3182309
0.576800;9164;3266373
0.576900;9114;3265453
0.577000;9139;3276010
0.577100;9070;3261516
0.577200;9292;3330459
0.577300;9311;3339922
0.577400;9246;3329899
0.577500;9332;3352443
0.577600;9363;3365761
0.577700;9350;3376051
0.577800;9500;3418157
0.577900;9337;3359719
0.578000;9357;3369878
0.578100;9322;3374296
0.578200;9531;3453336
0.578300;9581;3465754
0.578400;9601;3476058
0.578500;9517;3445135
0.578600;9623;3488532
0.578700;9645;3499576
0.578800;9625;3481371
0.578900;9813;3568135
0.579000;9740;3533870
0.579100;9770;3547324
0.579200;9747;3546272
0.579300;9823;3592177
0.579400;9851;3605354
0.579500;9778;3578495
0.579600;9781;3570000
0.579700;9821;3575358
0.579800;9844;3585215
0.579900;9882;3610470
0.580000;9837;3603120
0.580100;9862;3615634
0.580200;9953;3646078
0.580300;10168;3736583
0.580400;10192;3747353
0.580500;9902;3612852
0.580600;10047;3674250
0.580700;9993;3665996
0.580800;10021;3677357
0.580900;10282;3787113
0.581000;10123;3741550
0.581100;10153;3755725
0.581200;10367;3825605
0.581300;10416;3833290
0.581400;10422;3849942
0.581500;10450;3862601
0.581600;10520;3890147
0.581700;10496;3889634
0.581800;10522;3902234
0.581900;10587;3915700
0.582000;10352;3838961
0.582100;10393;3857677
0.582200;10406;3865393
0.582300;10500;3910098
0.582400;10429;3888990
0.582500;10532;3934023
0.582600;10557;3946715
0.582700;10576;3945394
0.582800;10844;4039126
0.582900;10879;4055478
0.583000;10735;4008576
0.583100;10732;4023814
0.583200;10831;4043922
0.583300;10852;4054913
0.583400;10678;3999063
0.583500;10918;4087286
0.583600;10936;4097008
0.583700;11005;4143483
0.583800;10886;4088836
0.583900;11074;4163828
0.584000;11099;4176739
0.584100;10975;4145543
0.584200;11036;4171089
0.584300;11005;4146217
0.584400;11031;4159097
0.584500;11188;4220826
0.584600;11312;4258777
0.584700;11343;4272606
0.584800;11240;4241546
0.584900;11168;4217334
0.585000;11197;4232337
0.585100;11278;4269055
0.585200;11387;4324925
0.585300;11297;4293826
0.585400;11323;4306285
0.585500;11548;4395351
0.585600;11394;4320792
0.585700;11571;4393518
0.585800;11594;4404186
0.585900;11477;4370031
0.586000;11451;4376023
0.586100;11481;4390456
0.586200;11558;4420395
0.586300;11552;4417446
0.586400;11579;4431582
0.586500;11580;4431819
0.586600;11577;4440241
0.586700;11587;4427127
0.586800;11612;4439508
0.586900;11813;4518083
0.587000;11855;4535287
0.587100;11877;4546366
0.587200;11947;4616390
0.587300;11827;4549089
0.587400;12016;4634968
0.587500;12044;4649481
0.587600;11931;4607796
0.587700;11908;4588443
0.587800;12054;4659496
0.587900;12085;4675106
0.588000;12101;4689682
0.588100;11977;4653914
0.588200;12011;4669081
0.588300;12009;4665492
0.588400;12248;4760577
0.588500;12278;4773376
0.588600;12291;4779270
0.588700;12356;4797527
0.588800;12356;4818109
0.588900;12381;4831653
0.589000;12341;4814138
0.589100;12151;4742712
0.589200;12398;4839039
0.589300;12421;4851412
0.589400;12511;4894757
0.589500;12450;4884910
0.589600;12474;4898486
0.589700;12494;4888916
0.589800;12694;4980962
0.589900;12617;4955241
0.590000;12642;4967905
0.590100;12755;5006265
0.590200;12606;4970062
0.590300;12630;4982557
0.590400;12643;4982636
0.590500;12723;5027269
0.590600;12764;5035449
0.590700;12798;5053285
0.590800;12709;5050026
0.590900;12970;5139402
0.591000;12989;5150396
0.591100;12857;5106994
0.591200;12963;5131413
0.591300;12917;5128957
0.591400;12948;5146156
0.591500;12980;5145454
0.591600;13090;5192389
0.591700;13120;5208125
0.591800;13040;5203673
0.591900;13139;5246983
0.592000;13161;5256877
0.592100;13192;5273372
0.592200;13284;5310764
0.592300;13208;5264827
0.592400;13234;5277792
0.592500;13246;5274976
0.592600;13360;5330304
0.592700;13519;5432342
0.592800;13547;5446933
0.592900;13503;5406447
0.593000;13598;5472971
0.593100;13621;5487676
0.593200;13446;5403510
0.593300;13434;5411183
0.593400;13458;5426507
0.593500;13613;5489370
0.593600;13551;5467617
0.593700;13707;5527651
0.593800;13745;5546393
0.593900;13780;5556717
0.594000;13718;5552226
0.594100;13783;5573542
0.594200;13805;5586344
0.594300;13884;5627784
0.594400;13850;5609196
0.594500;13883;5627365
0.594600;13845;5610857
0.594700;14011;5698730
0.594800;13995;5713545
0.594900;14019;5726983
0.595000;13828;5650663
0.595100;14024;5696729
0.595200;14047;5710164
0.595300;14120;5780987
0.595400;14053;5760256
0.595500;14051;5739112
0.595600;14072;5751735
0.595700;14082;5735382
0.595800;14300;5853496
0.595900;14329;5869664
0.596000;14233;5831401
0.596100;14378;5910413
0.596200;14264;5855124
0.596300;14302;5874426
0.596400;14436;5946324
0.596500;14513;5987095
0.596600;14537;6001403
0.596700;14520;5976663
0.596800;14508;5976379
0.596900;14621;6027619
0.597000;14653;6044650
0.597100;14534;6019675
0.597200;14613;6045554
0.597300;14639;6060733
0.597400;14660;6054990
0.597500;14650;6071236
0.597600;14716;6118192
0.597700;14747;6135354
0.597800;14711;6117877
0.597900;14823;6158338
0.598000;14842;6170954
0.598100;14899;6192629
0.598200;14800;6154842
0.598300;14943;6231153
0.598400;14968;6245371
0.598500;15020;6271339
0.598600;15034;6281682
0.598700;15054;6294976
0.598800;15080;6287940
0.598900;15144;6333762
0.599000;15082;6327635
0.599100;15106;6342371
0.599200;15062;6320750
0.599300;15192;6365369
0.599400;15216;6379135
0.599500;15186;6369459
0.599600;15293;6435486
0.599700;15300;6435998
0.599800;15338;6455293
0.599900;15221;6438253
0.600000;15383;6485599
0.600100;15403;6499674
0.600200;15415;6525980
0.600300;15462;6537319
0.600400;15454;6528843
0.600500;15484;6546594
0.600600;15525;6576397
0.600700;15541;6600248
0.600800;15569;6617233
0.600900;15528;6572099
0.601000;15667;6679323
0.601100;15748;6707343
0.601200;15771;6721060
0.601300;15850;6725789
0.601400;15779;6699926
0.601500;15809;6716732
0.601600;15890;6768417
0.601700;15887;6766124
0.601800;15962;6834603
0.601900;15989;6850648
0.602000;15902;6791106
0.602100;15941;6831850
0.602200;15971;6849544
0.602300;16012;6875999
0.602400;15843;6799027
0.602500;16046;6883616
0.602600;16074;6901621
0.602700;15996;6876408
0.602800;15999;6889812
0.602900;16172;6975132
0.603000;16197;6991528
0.603100;16302;7013563
0.603200;16267;7002590
0.603300;16297;7021358
0.603400;16289;7045839
0.603500;16287;7037328
0.603600;16264;7055257
0.603700;16285;7069953
0.603800;16393;7064583
0.603900;16522;7153337
0.604000;16546;7169060
0.604100;16458;7140095
0.604200;16419;7113672
0.604300;16740;7275332
0.604400;16767;7290803
0.604500;16545;7204132
0.604600;16720;7256312
0.604700;16741;7269952
0.604800;16635;7253599
0.604900;16592;7219570
0.605000;16708;7260685
0.605100;16732;7277757
0.605200;16832;7334499
0.605300;16816;7338192
0.605400;16710;7286621
0.605500;16735;7304139
0.605600;16945;7431221
0.605700;16819;7375728
0.605800;16841;7389979
0.605900;16928;7422389
