/* L = 64, Z = 27000 */
/* p;ocurrencias de percolacion;Masa promedio */
0.555900;1638;1493299
0.556000;1608;1477570
0.556100;1626;1495086
0.556200;1653;1517586
0.556300;1701;1558228
0.556400;1693;1552845
0.556500;1807;1655791
0.556600;1740;1580886
0.556700;1752;1619350
0.556800;1693;1559450
0.556900;1753;1624048
0.557000;1769;1625665
0.557100;1739;1611888
0.557200;1807;1662914
0.557300;1723;1617654
0.557400;1881;1747965
0.557500;1769;1621483
0.557600;1874;1740112
0.557700;1942;1811498
0.557800;1857;1725342
0.557900;1924;1811760
0.558000;1928;1820567
0.558100;1929;1796107
0.558200;1973;1847319
0.558300;1905;1776591
0.558400;2003;1886631
0.558500;2006;1891791
0.558600;2033;1909450
0.558700;1957;1851974
0.558800;2038;1928324
0.558900;2055;1945610
0.559000;2133;2027022
0.559100;2099;1976143
0.559200;2110;2013387
0.559300;2162;2026057
0.559400;2163;2066830
0.559500;2163;2075256
0.559600;2177;2068592
0.559700;2205;2098089
0.559800;2269;2184654
0.559900;2243;2150419
0.560000;2231;2157113
0.560100;2276;2179643
0.560200;2267;2180028
0.560300;2376;2285425
0.560400;2358;2268496
0.560500;2358;2284050
0.560600;2337;2247812
0.560700;2423;2355565
0.560800;2413;2357641
0.560900;2360;2262739
0.561000;2397;2328734
0.561100;2367;2317106
0.561200;2535;2470870
0.561300;2462;2398021
0.561400;2548;2501539
0.561500;2472;2434688
0.561600;2522;2480474
0.561700;2594;2549740
0.561800;2544;2492661
0.561900;2594;2556502
0.562000;2592;2595836
0.562100;2668;2649318
0.562200;2622;2604373
0.562300;2571;2542994
0.562400;2703;2679075
0.562500;2671;2631697
0.562600;2650;2628430
0.562700;2743;2736038
0.562800;2782;2751817
0.562900;2752;2733202
0.563000;2763;2723494
0.563100;2785;2794315
0.563200;2817;2814155
0.563300;2859;2841315
0.563400;2839;2840865
0.563500;2872;2870753
0.563600;2996;3013641
0.563700;2867;2871032
0.563800;2868;2888379
0.563900;2979;2979656
0.564000;2924;2968027
0.564100;3039;3095944
0.564200;3004;3044316
0.564300;3127;3159168
0.564400;2981;3043972
0.564500;3112;3163132
0.564600;3030;3069330
0.564700;3103;3171456
0.564800;3167;3227325
0.564900;3229;3303315
0.565000;3182;3260916
0.565100;3137;3202723
0.565200;3204;3273864
0.565300;3300;3403207
0.565400;3186;3263010
0.565500;3331;3403107
0.565600;3432;3533995
0.565700;3384;3434492
0.565800;3516;3596471
0.565900;3564;3730316
0.566000;3468;3582455
0.566100;3538;3642573
0.566200;3509;3630088
0.566300;3530;3660645
0.566400;3618;3773559
0.566500;3525;3658329
0.566600;3684;3871785
0.566700;3627;3817835
0.566800;3681;3872239
0.566900;3621;3779977
0.567000;3650;3810504
0.567100;3717;3913417
0.567200;3772;3978095
0.567300;3682;3881471
0.567400;3677;3897049
0.567500;3678;3886997
0.567600;3823;4038987
0.567700;3988;4226311
0.567800;3916;4127932
0.567900;3934;4171837
0.568000;3956;4205544
0.568100;3955;4182320
0.568200;3947;4177033
0.568300;4017;4283462
0.568400;4040;4329910
0.568500;3991;4287626
0.568600;4106;4392501
0.568700;4086;4378851
0.568800;4156;4473326
0.568900;4120;4404634
0.569000;4281;4607538
0.569100;4267;4596614
0.569200;4337;4695920
0.569300;4268;4566860
0.569400;4276;4658652
0.569500;4339;4674113
0.569600;4452;4807843
0.569700;4469;4858400
0.569800;4403;4745419
0.569900;4460;4844306
0.570000;4454;4870893
0.570100;4531;4944160
0.570200;4513;4907019
0.570300;4687;5130240
0.570400;4406;4802892
0.570500;4564;4998369
0.570600;4700;5169634
0.570700;4637;5082327
0.570800;4577;5045574
0.570900;4704;5193676
0.571000;4869;5378863
0.571100;4735;5250518
0.571200;4918;5405477
0.571300;4896;5424192
0.571400;4885;5430659
0.571500;4989;5521739
0.571600;4967;5520984
0.571700;4951;5523634
0.571800;5009;5593891
0.571900;5042;5617364
0.572000;4921;5493826
0.572100;5098;5700835
0.572200;5053;5658928
0.572300;5219;5815742
0.572400;5294;5957348
0.572500;5241;5932563
0.572600;5247;5892881
0.572700;5225;5898561
0.572800;5376;6036656
0.572900;5491;6192854
0.573000;5278;5968473
0.573100;5438;6110805
0.573200;5465;6186672
0.573300;5411;6103452
0.573400;5488;6243102
0.573500;5585;6370048
0.573600;5734;6542965
0.573700;5607;6387173
0.573800;5684;6484873
0.573900;5784;6585936
0.574000;5695;6529169
0.574100;5752;6591009
0.574200;5828;6708019
0.574300;5884;6719034
0.574400;5826;6652854
0.574500;5883;6781778
0.574600;5946;6872053
0.574700;6055;6956754
0.574800;6030;6968575
0.574900;6138;7086640
0.575000;5992;6958805
0.575100;6162;7099913
0.575200;6087;7073913
0.575300;6188;7210304
0.575400;6245;7255656
0.575500;6190;7205942
0.575600;6159;7137621
0.575700;6275;7347307
0.575800;6339;7442229
0.575900;6477;7562358
0.576000;6500;7603130
0.576100;6571;7726256
0.576200;6591;7740889
0.576300;6642;7834144
0.576400;6490;7673569
0.576500;6596;7780299
0.576600;6522;7723380
0.576700;6624;7831002
0.576800;6785;8034054
0.576900;6757;8051987
0.577000;6931;8198451
0.577100;6802;8111925
0.577200;6811;8109283
0.577300;6897;8204033
0.577400;6924;8253146
0.577500;7034;8412206
0.577600;7001;8374989
0.577700;7132;8567645
0.577800;7174;8555330
0.577900;7247;8715963
0.578000;7191;8630961
0.578100;7295;8801191
0.578200;7156;8614544
0.578300;7280;8798769
0.578400;7352;8897999
0.578500;7183;8689936
0.578600;7378;8941161
0.578700;7442;9041172
0.578800;7537;9208294
0.578900;7608;9264754
0.579000;7473;9115228
0.579100;7546;9242933
0.579200;7735;9459328
0.579300;7593;9322213
0.579400;7805;9595457
0.579500;7724;9486478
0.579600;7795;9562611
0.579700;7857;9669991
0.579800;7863;9684266
0.579900;7732;9519766
0.580000;7843;9700839
0.580100;8070;9938600
0.580200;8107;10036327
0.580300;8010;9918249
0.580400;8039;9952912
0.580500;8171;10147640
0.580600;8112;10112028
0.580700;8284;10354751
0.580800;8215;10252541
0.580900;8266;10325342
0.581000;8356;10438564
0.581100;8425;10542459
0.581200;8439;10602898
0.581300;8648;10840809
0.581400;8583;10779488
0.581500;8506;10660323
0.581600;8604;10869449
0.581700;8471;10725174
0.581800;8668;10993778
0.581900;8747;11064532
0.582000;8702;11000439
0.582100;8758;11114787
0.582200;8896;11330105
0.582300;8850;11271326
0.582400;9048;11504664
0.582500;9065;11566854
0.582600;8879;11321552
0.582700;9100;11594135
0.582800;9133;11660305
0.582900;9187;11735413
0.583000;9173;11795893
0.583100;9116;11722497
0.583200;9309;11959263
0.583300;9192;11782227
0.583400;9348;12074203
0.583500;9528;12314286
0.583600;9425;12173163
0.583700;9581;12339315
0.583800;9517;12276216
0.583900;9641;12497417
0.584000;9556;12418840
0.584100;9687;12572497
0.584200;9727;12587409
0.584300;9753;12717254
0.584400;9821;12849366
0.584500;9732;12730089
0.584600;9961;13010617
0.584700;9939;12967797
0.584800;10113;13208420
0.584900;10033;13223714
0.585000;10112;13342363
0.585100;10199;13407071
0.585200;10203;13452621
0.585300;10176;13428539
0.585400;10271;13540374
0.585500;10313;13604035
0.585600;10405;13789752
0.585700;10292;13630613
0.585800;10348;13754521
0.585900;10584;14122075
0.586000;10515;13946351
0.586100;10438;13861579
0.586200;10607;14128597
0.586300;10703;14274238
0.586400;10685;14267457
0.586500;10703;14318278
0.586600;10783;14480198
0.586700;10661;14304094
0.586800;10866;14591032
0.586900;10922;14723771
0.587000;10998;14820631
0.587100;10831;14611050
0.587200;11144;14992959
0.587300;11072;14932332
0.587400;11104;15039921
0.587500;11218;15201672
0.587600;11224;15221212
0.587700;11209;15252933
0.587800;11276;15389373
0.587900;11394;15499169
0.588000;11276;15380999
