/* L 6 Z 100000 */
/* probabilidad; segundo momento */
0.586000;8784372
0.586100;8782368
0.586200;8781300
0.586300;8779774
0.586400;8769459
0.586500;8765656
0.586600;8765094
0.586700;8765336
0.586800;8762666
0.586900;8761453
0.587000;8758350
0.587100;8752268
0.587200;8748744
0.587300;8747561
0.587400;8746755
0.587500;8741717
0.587600;8739197
0.587700;8737599
0.587800;8737264
0.587900;8666567
0.588000;8665088
0.588100;8663855
0.588200;8661074
0.588300;8660982
0.588400;8658730
0.588500;8655074
0.588600;8651953
0.588700;8699643
0.588800;8699737
0.588900;8699938
0.589000;8697843
0.589100;8694375
0.589200;8691566
0.589300;8691962
0.589400;8735005
0.589500;8732860
0.589600;8732784
0.589700;8729328
0.589800;8731334
0.589900;8728439
0.590000;8727800
0.590100;8726842
0.590200;8656013
0.590300;8653333
0.590400;8650213
0.590500;8649991
0.590600;8650605
0.590700;8648848
0.590800;8647322
0.590900;8644064
0.591000;8623814
0.591100;8621512
0.591200;8618638
0.591300;8616833
0.591400;8614868
0.591500;8614779
0.591600;8613371
0.591700;8611253
0.591800;8635677
0.591900;8630642
0.592000;8628577
0.592100;8629195
0.592200;8629655
0.592300;8628588
0.592400;8625201
0.592500;8526780
0.592600;8525293
0.592700;8523202
0.592800;8519787
0.592900;8518160
0.593000;8516975
0.593100;8517284
0.593200;8515334
0.593300;8569838
0.593400;8570233
0.593500;8569355
0.593600;8567544
0.593700;8565342
0.593800;8564608
0.593900;8561952
0.594000;8560819
0.594100;8559734
0.594200;8557360
0.594300;8557604
0.594400;8553948
0.594500;8552774
0.594600;8548411
0.594700;8548192
0.594800;8546556
0.594900;8554237
0.595000;8553577
0.595100;8551584
0.595200;8550342
0.595300;8549055
0.595400;8546109
0.595500;8543399
0.595600;8499688
0.595700;8495741
0.595800;8492627
0.595900;8488916
0.596000;8488748
0.596100;8486563
0.596200;8485049
0.596300;8483815
0.596400;8497452
0.596500;8492642
0.596600;8489960
0.596700;8488505
0.596800;8488830
0.596900;8487660
0.597000;8486086
0.597100;8483362
0.597200;8505612
0.597300;8505883
0.597400;8502769
0.597500;8502226
0.597600;8498876
0.597700;8497959
0.597800;8494150
0.597900;8490568
0.598000;8486542
0.598100;8484468
0.598200;8485018
0.598300;8482812
0.598400;8481312
0.598500;8479121
0.598600;8476016
0.598700;8472505
0.598800;8448323
0.598900;8445802
0.599000;8441589
0.599100;8437389
0.599200;8433317
0.599300;8431315
0.599400;8429092
0.599500;8439861
0.599600;8437575
0.599700;8433766
0.599800;8431329
0.599900;8427611
0.600000;8427069
0.600100;8425342
0.600200;8422115
0.600300;8335355
0.600400;8331870
0.600500;8326802
0.600600;8325345
0.600700;8322040
0.600800;8319403
0.600900;8320612
0.601000;8424779
0.601100;8422234
0.601200;8418500
0.601300;8416881
0.601400;8412971
0.601500;8410028
0.601600;8406634
0.601700;8405887
0.601800;8369123
